Date,Close,High,Low,Open,Volume
2000-01-03,92.4148941040039,94.2020321507079,91.42203963361281,94.2020321507079,8164300
2000-01-04,88.80094146728516,91.54122096694647,88.73144162490244,91.20365030394471,8089800
2000-01-05,88.95978546142578,89.93278311491012,87.21236110414777,88.92007127148764,12177900
2000-01-06,87.53009796142578,89.91294999304354,87.53009796142578,88.72152397723465,6227200
2000-01-07,92.61349487304688,92.61349487304688,88.99950343503346,89.15836020153955,8066500
2000-01-10,92.93123626708984,93.34823540418576,92.15680929819743,92.93123626708984,5741700
2000-01-11,91.81924438476562,92.83195663900936,91.18381708798523,92.65324271178987,7503700
2000-01-12,90.90583038330078,91.87882856783153,90.78668774846028,91.87882856783153,6907700
2000-01-13,92.13690185546875,92.6134720374798,91.04476185502678,91.79933130987759,5158300
2000-01-14,93.38788604736328,93.70559945938919,92.75245922331148,93.10988681184062,7437300
2000-01-18,92.65325927734375,93.16954404828479,92.25611714585062,92.3554026787239,6488500
2000-01-19,93.40779113769531,93.40779113769531,92.13693683650217,92.3355078210636,6157900
2000-01-20,91.97809600830078,93.38795024331576,91.3823829512522,93.38795024331576,5800100
2000-01-21,91.77948760986328,92.45462879955073,91.54120248409124,92.45462879955073,6244800
2000-01-24,89.1782455444336,92.67309551455612,88.58253248134451,92.55395290193832,7896900
2000-01-25,90.19087982177734,90.19087982177734,88.32431383691448,89.28738245676394,9942500
2000-01-26,89.47608947753906,89.94273131125459,89.01937619347706,89.59523207338133,5158100
2000-01-27,89.11864471435547,90.36964173240459,87.76836221868342,90.13135658610952,10922700
2000-01-28,86.338623046875,88.99947297518254,86.12019506768557,88.60233119483814,11916200
2000-01-31,88.68179321289062,88.75129305083176,85.78265711591749,86.29894162633735,10768700
2000-02-01,89.55549621582031,90.0320664839311,88.02649993896483,88.80092662464487,8419900
2000-02-02,89.63496398925781,90.3895339120739,89.19810771815378,89.77396371188183,6205900
2000-02-03,90.98519134521484,91.02490552738212,88.95976805468409,89.51576660502587,7997500
2000-02-04,90.60794830322266,91.50151781311637,90.31009179992475,90.9852332074,4925400
2000-02-07,90.46894836425781,90.72709066643853,89.87323535922539,90.5880909652643,5845800
2000-02-08,91.70008087158203,91.85893765957957,91.26322470458878,91.48165278808541,4936400
2000-02-09,89.77392578125,91.79934945514681,89.76399723382893,91.79934945514681,8511500
2000-02-10,89.95263671875,90.58806373309879,89.51578064638521,89.9923509071468,6690600
2000-02-11,88.12579345703125,90.19093147405046,87.70879443436391,90.13136018509798,9849800
2000-02-14,88.6420669555664,88.82078080023489,87.88749738918838,88.82078080023489,8528800
2000-02-15,89.64484405517578,89.73420097138982,87.55984934351481,88.48320414439324,11078300
2000-02-16,88.32434844970703,89.55548819878118,88.19527734698151,89.19806052969514,8845400
2000-02-17,87.86762237548828,89.23776157185183,87.82790819588355,89.23776157185183,7584200
2000-02-18,85.98128509521484,88.24499560349533,85.54442868133614,88.24499560349533,9409200
2000-02-22,85.76278686523438,86.63649897962898,84.84936056382183,85.90178651979716,16415400
2000-02-23,86.77555847167969,87.35141458053066,85.4649893963637,86.17984525562697,12119000
2000-02-24,85.0280990600586,87.07338028452988,84.57138577692423,86.85495219259606,17375000
2000-02-25,84.72026062011719,86.87475453252377,84.5911895562403,85.9017572817595,10559900
2000-02-28,86.49752807617188,86.85495587813953,84.33310416425665,84.75010326655224,13397800
2000-02-29,87.3315200805664,87.3315200805664,86.25923675079137,86.45780773778675,8242500
2000-03-01,87.9669418334961,88.3243695881243,87.19251503180166,87.45065729903314,6868000
